plate	well	y0	mumax	r2	auc	max_od	min_od
A8_1	E4	0.018864730694048867	0.22589271130707975	0.9998594893786089	16.15926197222222	0.4376	0.0852
A8_1	E5	0.025240951756027516	0.1904445333220929	0.9999340660467724	14.167054416666666	0.373	0.0852
A8_1	E6	0.07483860443039622	0.0030205373738624764	0.9053065662656379	4.141832916666666	0.091	0.086
A8_1	E7	0.017875791416190237	0.2209740755165618	0.9998731761748076	14.927493472222222	0.3918	0.085
A8_1	E8	0.025502980808878	0.2080153522374848	0.9999579902772435	14.705567472222222	0.379	0.086
A8_1	E9	0.02465417994465	0.34402714600167983	0.9995530668147478	16.60791927777778	0.4008000000000001	0.086
A8_1	F1	0.023829635153892692	0.34495548221307537	0.9995742415854999	16.753316972222223	0.4024	0.086
A8_1	F10	0.024535557986601057	0.17720006606912558	0.9999738007064687	12.686671111111112	0.3306	0.086
A8_1	F11	0.07916027823580794	0.003488639608592312	0.8633950642146467	4.117332611111111	0.08966666666666666	0.085
A8_1	F12	0.02554807542364695	0.17392437461788587	0.9999817091245259	12.71801013888889	0.331	0.0886
A8_1	F2	0.06802371283091549	0.24683833987220374	0.9996170205500852	16.413721583333334	0.39466666666666667	0.09933333333333332
A8_1	F3	0.029668231021259192	0.1746126713992747	0.9999661006682857	12.931590277777778	0.331	0.089
A8_1	F4	0.02664599059456142	0.3478024510151781	0.9995469105370313	19.646809333333334	0.4802	0.0882
A8_1	F5	0.055742614857579795	0.24322240851655566	0.9997401624174256	16.7545525	0.406	0.0998
A8_1	F6	0.02584821473064444	0.19485263160846622	0.999937977059539	14.150456861111111	0.3692	0.085
A8_1	F7	0.02583212933209694	0.19571055295681353	0.999944016563534	14.111017583333332	0.368	0.086
A8_1	F8	0.02533918342088208	0.19506878373240433	0.9999442742373682	14.237374277777777	0.373	0.086
A8_1	F9	0.08331616341460311	0.002144717533615394	0.9266229026236159	4.088498694444445	0.08966666666666666	0.085
A8_1	G1	0.0229279326584299	0.22341945276303093	0.9998518054494138	15.607709222222223	0.4108	0.086
A8_1	G10	0.023021847177704228	0.17949809367362912	0.9999709921608932	12.665303222222223	0.331	0.08639999999999999
A8_1	G11	0.0011999241233957602	0.6548218759009229	0.996515346304684	18.89968672222222	1.172	0.086
A8_1	G12	0.07077105714053973	0.00395324828998115	0.9575966963322091	4.103199055555556	0.087	0.085
A8_1	G2	0.024877690927726386	0.3480673004556879	0.9995736687233947	17.359739694444446	0.4158	0.087
A8_1	G3	0.02361106891931719	0.27110862171974337	0.99991363461225	16.508507805555556	0.41	0.087
A8_1	G4	0.016164667274406522	0.33732590149078534	0.9980696788837182	41.602830527777776	1.1612	0.17533333333333334
A8_1	G5	0.02154673056209256	0.19227317438597816	0.9999575374209912	13.821361666666666	0.367	0.0858
A8_1	G6	0.025274993765826	0.19858880497309164	0.9999553367691839	14.198797416666666	0.3694	0.0862
A8_1	G7	0.019726249210184055	0.22969533215246266	0.9998680847424123	15.149372861111111	0.4003333333333334	0.086
A8_1	G8	0.022199385121321857	0.197972930132756	0.9999546674921723	14.055434694444445	0.371	0.0862
A8_1	G9	0.08560680396570294	8.764232218384033e-4	0.95350503643696	4.0965655	0.08966666666666666	0.085
A8_1	H1	0.022813284769053085	0.23050368228627033	0.999850320447512	15.295834305555555	0.398	0.0854
A8_1	H10	0.08158424863418362	0.0026685287939624126	0.9507336388820475	4.163733194444444	0.091	0.086
A8_1	H11	0.08056736179542648	0.0014890852839749245	0.9625774363945038	4.130777194444444	0.08733333333333333	0.0856
A8_1	H12	0.010272424521016534	0.19379890685538537	0.9999667671425607	11.95227211111111	0.333	0.086
A8_1	H2	0.019827450587337033	0.23226651135749812	0.9998867536794097	15.373298305555556	0.403	0.086
A8_1	H3	0.024405071473242463	0.35131182631279867	0.99954850596123	17.15672425	0.4111999999999999	0.086
A8_1	H4	0.024962486628806704	0.3503248765510579	0.9995288613716844	17.250575694444443	0.4104	0.0862
