measure_env	evolution_env	replicate	transfer	od600
bact_pred	bact_pred_strep	A	2	0.051
bact_pred	bact_pred_strep	B	2	0.058
bact_pred	bact_pred_strep	C	2	0.057
bact_pred	bact_pred_strep	D	2	0.088
bact_pred	bact_pred_strep	E	2	0.066
bact_pred	bact_pred_strep	F	2	0.055
bact_pred	anc	A	2	0.062
bact_pred	anc	B	2	0.077
bact_pred	anc	C	2	0.078
bact_pred	anc	D	2	0.102
bact_pred	anc	E	2	0.11
bact_pred	anc	F	2	0.12
bact_strep	bact	A	2	0.102
bact_strep	bact	B	2	0.106
bact_strep	bact	C	2	0.1
bact_strep	bact	D	2	0.097
bact_strep	bact	E	2	0.102
bact_strep	bact	F	2	0.099
bact_strep	bact_pred	A	2	0.097
bact_strep	bact_pred	B	2	0.089
bact_strep	bact_pred	C	2	0.097
bact_strep	bact_pred	D	2	0.092
bact_strep	bact_pred	E	2	0.096
bact_strep	bact_pred	F	2	0.098
bact_strep	bact_strep	A	2	0.094
bact_strep	bact_strep	B	2	0.102
bact_strep	bact_strep	C	2	0.107
bact_strep	bact_strep	D	2	0.098
bact_strep	bact_strep	E	2	0.099
bact_strep	bact_strep	F	2	0.102
bact_strep	bact_pred_strep	A	2	0.079
bact_strep	bact_pred_strep	B	2	0.081
bact_strep	bact_pred_strep	C	2	0.097
bact_strep	bact_pred_strep	D	2	0.086
bact_strep	bact_pred_strep	E	2	0.091
bact_strep	bact_pred_strep	F	2	0.089
bact_strep	anc	A	2	0.097
bact_strep	anc	B	2	0.092
bact_strep	anc	C	2	0.098
bact_strep	anc	D	2	0.097
bact_strep	anc	E	2	0.097
bact_strep	anc	F	2	0.093
bact_pred_strep	bact	A	2	0.06
bact_pred_strep	bact	B	2	0.071
bact_pred_strep	bact	C	2	0.07
bact_pred_strep	bact	D	2	0.087
bact_pred_strep	bact	E	2	0.056
bact_pred_strep	bact	F	2	0.07
bact_pred_strep	bact_pred	A	2	0.049
bact_pred_strep	bact_pred	B	2	0.049
bact_pred_strep	bact_pred	C	2	0.054
bact_pred_strep	bact_pred	D	2	0.051
bact_pred_strep	bact_pred	E	2	0.051
bact_pred_strep	bact_pred	F	2	0.046
bact_pred_strep	bact_strep	A	2	0.05
bact_pred_strep	bact_strep	B	2	0.052
bact_pred_strep	bact_strep	C	2	0.051
bact_pred_strep	bact_strep	D	2	0.054
bact_pred_strep	bact_strep	E	2	0.045
