measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	bact_pred	E	3	471
bact_pred	bact_pred	F	3	1883
bact_pred	bact_pred_strep	A	3	2825
bact_pred	bact_pred_strep	B	3	2040
bact_pred	bact_pred_strep	C	3	3295
bact_pred	bact_pred_strep	D	3	1726
bact_pred	bact_pred_strep	E	3	1569
bact_pred	bact_pred_strep	F	3	2668
bact_pred_strep	anc	A	3	1255
bact_pred_strep	anc	B	3	5806
bact_pred_strep	anc	C	3	10827
bact_pred_strep	anc	D	3	8631
bact_pred_strep	anc	E	3	7061
bact_pred_strep	anc	F	3	4237
bact_pred_strep	bact	A	3	7532
bact_pred_strep	bact	B	3	13966
bact_pred_strep	bact	C	3	9572
bact_pred_strep	bact	D	3	314
bact_pred_strep	bact	E	3	4708
bact_pred_strep	bact	F	3	12083
bact_pred_strep	bact_strep	A	3	3452
bact_pred_strep	bact_strep	B	3	6904
bact_pred_strep	bact_strep	C	3	10043
bact_pred_strep	bact_strep	D	3	3452
bact_pred_strep	bact_strep	E	3	7218
bact_pred_strep	bact_strep	F	3	9415
bact_pred_strep	bact_pred	A	3	14280
bact_pred_strep	bact_pred	B	3	6904
bact_pred_strep	bact_pred	C	3	3923
bact_pred_strep	bact_pred	D	3	5806
bact_pred_strep	bact_pred	E	3	8474
bact_pred_strep	bact_pred	F	3	3766
bact_pred_strep	bact_pred_strep	A	3	3609
bact_pred_strep	bact_pred_strep	B	3	1255
bact_pred_strep	bact_pred_strep	C	3	6591
bact_pred_strep	bact_pred_strep	D	3	1883
bact_pred_strep	bact_pred_strep	E	3	2981
bact_pred_strep	bact_pred_strep	F	3	2354
bact_pred	anc	A	4	29030
bact_pred	anc	B	4	25892
bact_pred	anc	C	4	18046
bact_pred	anc	D	4	1569
bact_pred	anc	E	4	20400
bact_pred	anc	F	4	63160
bact_pred	bact	A	4	61591
bact_pred	bact	B	4	50214
bact_pred	bact	C	4	65122
bact_pred	bact	D	4	56491
bact_pred	bact	E	4	54530
bact_pred	bact	F	4	45114
bact_pred	bact_strep	A	4	18046
bact_pred	bact_strep	B	4	34915
bact_pred	bact_strep	C	4	46291
bact_pred	bact_strep	D	4	28246
bact_pred	bact_strep	E	4	32561
bact_pred	bact_strep	F	4	20400
bact_pred	bact_pred	A	4	29030
bact_pred	bact_pred	B	4	29030
bact_pred	bact_pred	C	4	21576
bact_pred	bact_pred	D	4	12554
bact_pred	bact_pred	E	4	14907
bact_pred	bact_pred	F	4	12946
bact_pred	bact_pred_strep	A	4	11377
bact_pred	bact_pred_strep	B	4	44330
bact_pred	bact_pred_strep	C	4	34915
bact_pred	bact_pred_strep	D	4	30207
bact_pred	bact_pred_strep	E	4	29422
bact_pred	bact_pred_strep	F	4	34522
bact_pred_strep	anc	A	4	31776
bact_pred_strep	anc	B	4	32168
bact_pred_strep	anc	C	4	36484
bact_pred_strep	anc	D	4	23538
bact_pred_strep	anc	E	4	26676
bact_pred_strep	anc	F	4	392
bact_pred_strep	bact	A	4	76498
bact_pred_strep	bact	B	4	4315
bact_pred_strep	bact	C	4	1569
bact_pred_strep	bact	D	4	4708
bact_pred_strep	bact	E	4	46684
bact_pred_strep	bact	F	4	35699
bact_pred_strep	bact_strep	A	4	49037
bact_pred_strep	bact_strep	B	4	59629
bact_pred_strep	bact_strep	C	4	69045
bact_pred_strep	bact_strep	D	4	47860
bact_pred_strep	bact_strep	E	4	40799
bact_pred_strep	bact_strep	F	4	64337
bact_pred_strep	bact_pred	A	4	46291
bact_pred_strep	bact_pred	B	4	43937
bact_pred_strep	bact_pred	C	4	33738
bact_pred_strep	bact_pred	D	4	39230
bact_pred_strep	bact_pred	E	4	31776
bact_pred_strep	bact_pred	F	4	1569
bact_pred_strep	bact_pred_strep	A	4	18046
bact_pred_strep	bact_pred_strep	B	4	12946
bact_pred_strep	bact_pred_strep	C	4	42761
bact_pred_strep	bact_pred_strep	D	4	17653
bact_pred_strep	bact_pred_strep	E	4	16869
bact_pred_strep	bact_pred_strep	F	4	21576
bact_pred	anc	A	5	13730
bact_pred	anc	B	5	25892
bact_pred	anc	C	5	21969
bact_pred	anc	D	5	27461
bact_pred	anc	E	5	16477
bact_pred	anc	F	5	7846
bact_pred	bact	A	5	24715
bact_pred	bact	B	5	17261
bact_pred	bact	C	5	11769
bact_pred	bact	D	5	5884
bact_pred	bact	E	5	23930
bact_pred	bact	F	5	17653
bact_pred	bact_strep	A	5	24323
bact_pred	bact_strep	B	5	31776
bact_pred	bact_strep	C	5	24715
bact_pred	bact_strep	D	5	24715
bact_pred	bact_strep	E	5	19615
bact_pred	bact_strep	F	5	32168
bact_pred	bact_pred	A	5	9023
bact_pred	bact_pred	B	5	3531
bact_pred	bact_pred	C	5	6669
bact_pred	bact_pred	D	5	7061
bact_pred	bact_pred	E	5	9807
bact_pred	bact_pred	F	5	21969
bact_pred	bact_pred_strep	A	5	29815
bact_pred	bact_pred_strep	B	5	17261
bact_pred	bact_pred_strep	C	5	35307
bact_pred	bact_pred_strep	D	5	19615
bact_pred	bact_pred_strep	E	5	18046
bact_pred	bact_pred_strep	F	5	22361
bact_pred_strep	anc	A	5	27069
bact_pred_strep	anc	B	5	26284
bact_pred_strep	anc	C	5	27461
bact_pred_strep	anc	D	5	18438
bact_pred_strep	anc	E	5	32953
bact_pred_strep	anc	F	5	0
bact_pred_strep	bact	A	5	40407
bact_pred_strep	bact	B	5	42761
bact_pred_strep	bact	C	5	43545
bact_pred_strep	bact	D	5	24715
bact_pred_strep	bact	E	5	5492
bact_pred_strep	bact	F	5	31384
bact_pred_strep	bact_strep	A	5	27069
bact_pred_strep	bact_strep	B	5	41191
bact_pred_strep	bact_strep	C	5	61199
bact_pred_strep	bact_strep	D	5	32168
bact_pred_strep	bact_strep	E	5	48253
bact_pred_strep	bact_strep	F	5	46291
bact_pred_strep	bact_pred	A	5	28638
bact_pred_strep	bact_pred	B	5	31776
bact_pred_strep	bact_pred	C	5	26676
bact_pred_strep	bact_pred	D	5	36876
bact_pred_strep	bact_pred	E	5	36484
bact_pred_strep	bact_pred	F	5	21184
bact_pred_strep	bact_pred_strep	A	5	24715
bact_pred_strep	bact_pred_strep	B	5	18046
bact_pred_strep	bact_pred_strep	C	5	24715
bact_pred_strep	bact_pred_strep	D	5	9023
bact_pred_strep	bact_pred_strep	E	5	25107
bact_pred_strep	bact_pred_strep	F	5	20792
bact_pred	anc	A	6	20792
bact_pred	anc	B	6	14907
bact_pred	anc	C	6	21184
bact_pred	anc	D	6	12946
bact_pred	anc	E	6	10592
bact_pred	anc	F	6	21969
bact_pred	bact	A	6	25107
bact_pred	bact	B	6	17784
bact_pred	bact	C	6	26284
bact_pred	bact	D	6	17653
bact_pred	bact	E	6	22361
bact_pred	bact	F	6	21969
bact_pred	bact_strep	A	6	10200
bact_pred	bact_strep	B	6	27853
bact_pred	bact_strep	C	6	16084
bact_pred	bact_strep	D	6	12161
bact_pred	bact_strep	E	6	10984
bact_pred	bact_strep	F	6	18046
bact_pred	bact_pred	A	6	12554
bact_pred	bact_pred	B	6	4315
bact_pred	bact_pred	C	6	12554
bact_pred	bact_pred	D	6	8238
bact_pred	bact_pred	E	6	8238
bact_pred	bact_pred	F	6	15692
bact_pred	bact_pred_strep	A	6	15692
bact_pred	bact_pred_strep	B	6	20007
bact_pred	bact_pred_strep	C	6	26676
bact_pred	bact_pred_strep	D	6	16869
bact_pred	bact_pred_strep	E	6	18830
bact_pred	bact_pred_strep	F	6	20400
bact_pred_strep	anc	A	6	785
bact_pred_strep	anc	B	6	40407
bact_pred_strep	anc	C	6	41191
bact_pred_strep	anc	D	6	16084
bact_pred_strep	anc	E	6	34130
bact_pred_strep	anc	F	6	0
bact_pred_strep	bact	A	6	25892
bact_pred_strep	bact	B	6	9023
bact_pred_strep	bact	C	6	18438
bact_pred_strep	bact	D	6	21184
bact_pred_strep	bact	E	6	392
bact_pred_strep	bact	F	6	14907
bact_pred_strep	bact_strep	A	6	26284
bact_pred_strep	bact_strep	B	6	33738
bact_pred_strep	bact_strep	C	6	32561
bact_pred_strep	bact_strep	D	6	20400
bact_pred_strep	bact_strep	E	6	44722
bact_pred_strep	bact_strep	F	6	35699
bact_pred_strep	bact_pred	A	6	12554
bact_pred_strep	bact_pred	B	6	27069
bact_pred_strep	bact_pred	C	6	21969
bact_pred_strep	bact_pred	D	6	28638
bact_pred_strep	bact_pred	E	6	27461
bact_pred_strep	bact_pred	F	6	1569
bact_pred_strep	bact_pred_strep	A	6	35307
bact_pred_strep	bact_pred_strep	B	6	13730
bact_pred_strep	bact_pred_strep	C	6	24715
bact_pred_strep	bact_pred_strep	D	6	10592
bact_pred_strep	bact_pred_strep	E	6	14123
bact_pred_strep	bact_pred_strep	F	6	9415
bact_pred	anc	A	7	9415
bact_pred	anc	B	7	27069
bact_pred	anc	C	7	25499
bact_pred	anc	D	7	20400
bact_pred	anc	E	7	20792
bact_pred	anc	F	7	21184
bact_pred	bact	A	7	20400
bact_pred	bact	B	7	20007
bact_pred	bact	C	7	14123
bact_pred	bact	D	7	9415
bact_pred	bact	E	7	26676
bact_pred	bact	F	7	7454
bact_pred	bact_strep	A	7	22753
bact_pred	bact_strep	B	7	24715
bact_pred	bact_strep	C	7	31384
bact_pred	bact_strep	D	7	29030
bact_pred	bact_strep	E	7	23538
bact_pred	bact_strep	F	7	22753
bact_pred	bact_pred	A	7	9807
bact_pred	bact_pred	B	7	18046
bact_pred	bact_pred	C	7	11377
bact_pred	bact_pred	D	7	13338
bact_pred	bact_pred	E	7	14123
bact_pred	bact_pred	F	7	13338
bact_pred	bact_pred_strep	A	7	27461
bact_pred	bact_pred_strep	B	7	19223
bact_pred	bact_pred_strep	C	7	19223
