measure_env	evolution_env	replicate	transfer	od600	ciliate_per_ml
bact	anc	F	8	0.093	0
bact_pred	bact	A	8	0.066	23146
bact_pred	bact	B	8	0.072	25892
bact_pred	bact	C	8	0.064	23146
bact_pred	bact	D	8	0.108	16084
bact_pred	bact	E	8	0.106	15300
bact_pred	bact	F	8	0.09	18438
bact_pred	bact_pred	A	8	0.082	5492
bact_pred	bact_pred	B	8	0.078	5884
bact_pred	bact_pred	C	8	0.113	5100
bact_pred	bact_pred	D	8	0.104	6277
bact_pred	bact_pred	E	8	0.121	7454
bact_pred	bact_pred	F	8	0.078	8238
bact_pred	bact_strep	A	8	0.091	8238
bact_pred	bact_strep	B	8	0.101	13730
bact_pred	bact_strep	C	8	0.095	15692
bact_pred	bact_strep	D	8	0.108	12946
bact_pred	bact_strep	E	8	0.093	7846
bact_pred	bact_strep	F	8	0.128	9807
bact_pred	bact_pred_strep	A	8	0.081	15300
bact_pred	bact_pred_strep	B	8	0.098	9415
bact_pred	bact_pred_strep	C	8	0.128	18830
bact_pred	bact_pred_strep	D	8	0.068	18046
bact_pred	bact_pred_strep	E	8	0.134	13730
bact_pred	bact_pred_strep	F	8	0.077	12946
bact_pred	anc	A	8	0.089	16477
bact_pred	anc	B	8	0.109	13338
bact_pred	anc	C	8	0.095	8238
bact_pred	anc	D	8	0.099	10200
bact_pred	anc	E	8	0.058	14907
bact_pred	anc	F	8	0.042	19223
bact_strep	bact	A	8	0.098	0
bact_strep	bact	B	8	0.092	0
bact_strep	bact	C	8	0.095	0
bact_strep	bact	D	8	0.095	0
bact_strep	bact	E	8	0.096	0
bact_strep	bact	F	8	0.091	0
bact_strep	bact_pred	A	8	0.096	0
bact_strep	bact_pred	B	8	0.087	0
bact_strep	bact_pred	C	8	0.1	0
bact_strep	bact_pred	D	8	0.091	0
bact_strep	bact_pred	E	8	0.096	0
bact_strep	bact_pred	F	8	0.101	0
bact_strep	bact_strep	A	8	0.112	0
bact_strep	bact_strep	B	8	0.102	0
bact_strep	bact_strep	C	8	0.095	0
bact_strep	bact_strep	D	8	0.035	0
bact_strep	bact_strep	E	8	0.099	0
bact_strep	bact_strep	F	8	0.094	0
bact_strep	bact_pred_strep	A	8	0.102	0
bact_strep	bact_pred_strep	B	8	0.164	0
bact_strep	bact_pred_strep	C	8	0.096	0
bact_strep	bact_pred_strep	D	8	0.096	0
bact_strep	bact_pred_strep	E	8	0.089	0
bact_strep	bact_pred_strep	F	8	0.092	0
bact_strep	anc	A	8	0.097	0
bact_strep	anc	B	8	0.096	0
bact_strep	anc	C	8	0.097	0
bact_strep	anc	D	8	0.093	0
bact_strep	anc	E	8	0.091	0
bact_strep	anc	F	8	0.096	0
bact_pred_strep	bact	A	8	0.055	34130
bact_pred_strep	bact	B	8	0.055	34130
bact_pred_strep	bact	C	8	0.068	18046
bact_pred_strep	bact	D	8	0.074	21969
bact_pred_strep	bact	E	8	0.05	19615
bact_pred_strep	bact	F	8	0.049	25107
bact_pred_strep	bact_pred	A	8	0.218	8631
bact_pred_strep	bact_pred	B	8	0.052	24715
bact_pred_strep	bact_pred	C	8	0.066	21969
bact_pred_strep	bact_pred	D	8	0.052	20792
bact_pred_strep	bact_pred	E	8	0.059	34915
bact_pred_strep	bact_pred	F	8	0.063	7061
bact_pred_strep	bact_strep	A	8	0.062	26676
bact_pred_strep	bact_strep	B	8	0.062	32168
bact_pred_strep	bact_strep	C	8	0.058	27853
bact_pred_strep	bact_strep	D	8	0.119	16084
bact_pred_strep	bact_strep	E	8	0.053	30207
bact_pred_strep	bact_strep	F	8	0.057	21184
bact_pred_strep	bact_pred_strep	A	8	0.224	19223
bact_pred_strep	bact_pred_strep	B	8	0.063	14515
bact_pred_strep	bact_pred_strep	C	8	0.173	21969
bact_pred_strep	bact_pred_strep	D	8	0.172	9807
bact_pred_strep	bact_pred_strep	E	8	0.113	10984
bact_pred_strep	bact_pred_strep	F	8	0.227	20400
bact_pred_strep	anc	A	8	0.055	34130
bact_pred_strep	anc	B	8	0.055	28246
bact_pred_strep	anc	C	8	0.077	23146
bact_pred_strep	anc	D	8	0.098	17261
bact_pred_strep	anc	E	8	0.049	16084
bact_pred_strep	anc	F	8	0.106	0
bact	bact	A	12	0.122	0
bact	bact	B	12	0.115	0
bact	bact	C	12	0.114	0
bact	bact	D	12	0.125	0
bact	bact	E	12	0.125	0
bact	bact	F	12	0.122	0
bact	bact_pred	A	12	0.109	0
bact	bact_pred	B	12	0.112	0
bact	bact_pred	C	12	0.121	0
bact	bact_pred	D	12	0.118	0
bact	bact_pred	E	12	0.131	0
bact	bact_pred	F	12	0.127	0
bact	bact_strep	A	12	0.112	0
bact	bact_strep	B	12	0.107	0
bact	bact_strep	C	12	0.119	0
bact	bact_strep	D	12	0.119	0
bact	bact_strep	E	12	0.118	0
bact	bact_strep	F	12	0.11	0
bact	bact_pred_strep	A	12	0.102	0
bact	bact_pred_strep	B	12	0.109	0
bact	bact_pred_strep	C	12	0.116	0
bact	bact_pred_strep	D	12	0.115	0
bact	bact_pred_strep	E	12	0.121	0
bact	bact_pred_strep	F	12	0.109	0
bact	anc	A	12	0.104	0
bact	anc	B	12	0.112	0
bact	anc	C	12	0.112	0
bact	anc	D	12	0.11	0
bact	anc	E	12	0.114	0
bact	anc	F	12	0.101	0
bact_pred	bact	A	12	0.051	785
bact_pred	bact	B	12	0.061	2746
bact_pred	bact	C	12	0.089	3923
bact_pred	bact	D	12	0.087	1961
bact_pred	bact	E	12	0.066	3138
bact_pred	bact	F	12	0.085	3531
bact_pred	bact_pred	A	12	0.061	1961
bact_pred	bact_pred	B	12	0.082	1569
bact_pred	bact_pred	C	12	0.121	2746
bact_pred	bact_pred	D	12	0.158	1961
bact_pred	bact_pred	E	12	0.136	1177
bact_pred	bact_pred	F	12	0.113	1961
bact_pred	bact_strep	A	12	0.056	392
bact_pred	bact_strep	B	12	0.071	1569
bact_pred	bact_strep	C	12	0.086	2746
bact_pred	bact_strep	D	12	0.06	2354
bact_pred	bact_strep	E	12	0.1	3531
bact_pred	bact_strep	F	12	0.105	1961
bact_pred	bact_pred_strep	A	12	0.053	3923
bact_pred	bact_pred_strep	B	12	0.06	5492
bact_pred	bact_pred_strep	C	12	0.08	10592
bact_pred	bact_pred_strep	D	12	0.065	6277
bact_pred	bact_pred_strep	E	12	0.067	12161
bact_pred	bact_pred_strep	F	12	0.064	6277
bact_pred	anc	A	12	0.056	7454
bact_pred	anc	B	12	0.079	7846
bact_pred	anc	C	12	0.082	7061
bact_pred	anc	D	12	0.091	5100
bact_pred	anc	E	12	0.074	7061
bact_pred	anc	F	12	0.126	4708
bact_strep	bact	A	12	0.105	0
bact_strep	bact	B	12	0.109	0
bact_strep	bact	C	12	0.108	0
bact_strep	bact	D	12	0.114	0
bact_strep	bact	E	12	0.106	0
bact_strep	bact	F	12	0.1	0
bact_strep	bact_pred	A	12	0.092	0
bact_strep	bact_pred	B	12	0.088	0
bact_strep	bact_pred	C	12	0.083	0
bact_strep	bact_pred	D	12	0.087	0
bact_strep	bact_pred	E	12	0.099	0
bact_strep	bact_pred	F	12	0.094	0
bact_strep	bact_strep	A	12	0.123	0
bact_strep	bact_strep	B	12	0.11	0
bact_strep	bact_strep	C	12	0.107	0
bact_strep	bact_strep	D	12	0.112	0
bact_strep	bact_strep	E	12	0.11	0
bact_strep	bact_strep	F	12	0.099	0
bact_strep	bact_pred_strep	A	12	0.099	0
bact_strep	bact_pred_strep	B	12	0.085	0
bact_strep	bact_pred_strep	C	12	0.105	0
bact_strep	bact_pred_strep	D	12	0.107	0
bact_strep	bact_pred_strep	E	12	0.092	0
bact_strep	bact_pred_strep	F	12	0.103	0
bact_strep	anc	A	12	0.101	0
bact_strep	anc	B	12	0.103	0
bact_strep	anc	C	12	0.104	0
bact_strep	anc	D	12	0.104	0
bact_strep	anc	E	12	0.1	0
bact_strep	anc	F	12	0.099	0
bact_pred_strep	bact	A	12	0.061	5492
bact_pred_strep	bact	B	12	0.054	22361
bact_pred_strep	bact	C	12	0.078	6277
bact_pred_strep	bact	D	12	0.071	11377
bact_pred_strep	bact	E	12	0.057	9807
bact_pred_strep	bact	F	12	0.048	9415
bact_pred_strep	bact_pred	A	12	0.077	4708
bact_pred_strep	bact_pred	B	12	0.056	7061
bact_pred_strep	bact_pred	C	12	0.068	7454
bact_pred_strep	bact_pred	D	12	0.051	9415
