measure_env	evolution_env	replicate	transfer	od600
bact	anc	B	6	0.101
bact	anc	C	6	0.099
bact	anc	D	6	0.108
bact	anc	E	6	0.104
bact	anc	F	6	0.105
bact_strep	bact	A	6	0.1
bact_strep	bact	B	6	0.105
bact_strep	bact	C	6	0.119
bact_strep	bact	D	6	0.118
bact_strep	bact	E	6	0.097
bact_strep	bact	F	6	0.101
bact_strep	bact_strep	A	6	0.103
bact_strep	bact_strep	B	6	0.127
bact_strep	bact_strep	C	6	0.11
bact_strep	bact_strep	D	6	0.095
bact_strep	bact_strep	E	6	0.098
bact_strep	bact_strep	F	6	0.093
bact_strep	anc	A	6	0.094
bact_strep	anc	B	6	0.097
bact_strep	anc	C	6	0.098
bact_strep	anc	D	6	0.095
bact_strep	anc	E	6	0.097
bact_strep	anc	F	6	0.097
bact	bact	A	7	0.131
bact	bact	B	7	0.101
bact	bact	C	7	0.1
bact	bact	D	7	0.098
bact	bact	E	7	0.099
bact	bact	F	7	0.1
bact	bact_strep	A	7	0.121
bact	bact_strep	B	7	0.122
bact	bact_strep	C	7	0.114
bact	bact_strep	D	7	0.119
bact	bact_strep	E	7	0.116
bact	bact_strep	F	7	0.112
bact	anc	A	7	0.122
bact	anc	B	7	0.122
bact	anc	C	7	0.112
bact	anc	D	7	0.121
bact	anc	E	7	0.119
bact	anc	F	7	0.119
bact_strep	bact	A	7	0.089
bact_strep	bact	B	7	0.09
bact_strep	bact	C	7	0.095
bact_strep	bact	D	7	0.099
bact_strep	bact	E	7	0.109
bact_strep	bact	F	7	0.11
bact_strep	bact_strep	A	7	0.106
bact_strep	bact_strep	B	7	0.11
bact_strep	bact_strep	C	7	0.107
bact_strep	bact_strep	D	7	0.099
bact_strep	bact_strep	E	7	0.104
bact_strep	bact_strep	F	7	0.084
bact_strep	anc	A	7	0.09
bact_strep	anc	B	7	0.091
bact_strep	anc	C	7	0.095
bact_strep	anc	D	7	0.09
bact_strep	anc	E	7	0.091
bact_strep	anc	F	7	0.092
bact	bact	A	8	0.075
bact	bact	B	8	0.108
bact	bact	C	8	0.106
bact	bact	D	8	0.102
bact	bact	E	8	0.117
bact	bact	F	8	0.104
bact	bact_strep	A	8	0.105
bact	bact_strep	B	8	0.108
bact	bact_strep	C	8	0.095
bact	bact_strep	D	8	0.105
bact	bact_strep	E	8	0.1
bact	bact_strep	F	8	0.103
bact	anc	A	8	0.101
bact	anc	B	8	0.099
bact	anc	C	8	0.093
bact	anc	D	8	0.096
bact	anc	E	8	0.096
bact	anc	F	8	0.093
bact_strep	bact	A	8	0.098
bact_strep	bact	B	8	0.092
bact_strep	bact	C	8	0.095
bact_strep	bact	D	8	0.095
bact_strep	bact	E	8	0.096
bact_strep	bact	F	8	0.091
bact_strep	bact_strep	A	8	0.112
bact_strep	bact_strep	B	8	0.102
bact_strep	bact_strep	C	8	0.095
bact_strep	bact_strep	D	8	0.035
bact_strep	bact_strep	E	8	0.099
bact_strep	bact_strep	F	8	0.094
bact_strep	anc	A	8	0.097
bact_strep	anc	B	8	0.096
bact_strep	anc	C	8	0.097
bact_strep	anc	D	8	0.093
bact_strep	anc	E	8	0.091
bact_strep	anc	F	8	0.096
bact	bact	A	9	0.117
bact	bact	B	9	0.117
bact	bact	C	9	0.119
bact	bact	D	9	0.118
bact	bact	E	9	0.113
bact	bact	F	9	0.122
bact	bact_strep	A	9	0.106
bact	bact_strep	B	9	0.111
bact	bact_strep	C	9	0.113
bact	bact_strep	D	9	0.112
bact	bact_strep	E	9	0.118
bact	bact_strep	F	9	0.112
bact	anc	A	9	0.11
bact	anc	B	9	0.107
bact	anc	C	9	0.108
bact	anc	D	9	0.103
bact	anc	E	9	0.114
bact	anc	F	9	0.12
bact_strep	bact	A	9	0.101
bact_strep	bact	B	9	0.101
bact_strep	bact	C	9	0.106
bact_strep	bact	D	9	0.1
bact_strep	bact	E	9	0.093
bact_strep	bact	F	9	0.097
bact_strep	bact_strep	A	9	0.104
bact_strep	bact_strep	B	9	0.1
bact_strep	bact_strep	C	9	0.092
bact_strep	bact_strep	D	9	0.036
bact_strep	bact_strep	E	9	0.097
bact_strep	bact_strep	F	9	0.087
bact_strep	anc	A	9	0.096
bact_strep	anc	B	9	0.097
bact_strep	anc	C	9	0.101
bact_strep	anc	D	9	0.095
bact_strep	anc	E	9	0.095
bact_strep	anc	F	9	0.094
bact	bact	A	10	0.123
bact	bact	B	10	0.122
bact	bact	C	10	0.119
bact	bact	D	10	0.127
bact	bact	E	10	0.118
bact	bact	F	10	0.123
bact	bact_strep	A	10	0.123
bact	bact_strep	B	10	0.129
bact	bact_strep	C	10	0.125
bact	bact_strep	D	10	0.125
bact	bact_strep	E	10	0.134
bact	bact_strep	F	10	0.114
bact	anc	A	10	0.122
bact	anc	B	10	0.125
bact	anc	C	10	0.128
bact	anc	D	10	0.12
bact	anc	E	10	0.127
bact	anc	F	10	0.108
bact_strep	bact	A	10	0.095
bact_strep	bact	B	10	0.107
bact_strep	bact	C	10	0.097
bact_strep	bact	D	10	0.102
bact_strep	bact	E	10	0.117
bact_strep	bact	F	10	0.093
bact_strep	bact_strep	A	10	0.106
bact_strep	bact_strep	B	10	0.1
bact_strep	bact_strep	C	10	0.096
bact_strep	bact_strep	D	10	0.091
bact_strep	bact_strep	E	10	0.097
bact_strep	bact_strep	F	10	0.094
bact_strep	anc	A	10	0.096
bact_strep	anc	B	10	0.101
bact_strep	anc	C	10	0.106
bact_strep	anc	D	10	0.097
bact_strep	anc	E	10	0.096
bact_strep	anc	F	10	0.095
bact	bact	A	11	0.143
bact	bact	B	11	0.106
bact	bact	C	11	0.11
bact	bact	D	11	0.11
bact	bact	E	11	0.107
bact	bact	F	11	0.107
bact	bact_strep	A	11	0.104
bact	bact_strep	B	11	0.105
bact	bact_strep	C	11	0.103
bact	bact_strep	D	11	0.102
bact	bact_strep	E	11	0.101
bact	bact_strep	F	11	0.096
bact	anc	A	11	0.1
bact	anc	B	11	0.104
bact	anc	C	11	0.103
bact	anc	D	11	0.099
bact	anc	E	11	0.104
bact	anc	F	11	0.098
bact_strep	bact	A	11	0.115
bact_strep	bact	B	11	0.105
bact_strep	bact	C	11	0.116
bact_strep	bact	D	11	0.113
bact_strep	bact	E	11	0.116
bact_strep	bact	F	11	0.106
bact_strep	bact_strep	A	11	0.118
bact_strep	bact_strep	B	11	0.112
bact_strep	bact_strep	C	11	0.108
bact_strep	bact_strep	D	11	0.096
bact_strep	bact_strep	E	11	0.108
bact_strep	bact_strep	F	11	0.1
bact_strep	anc	A	11	0.094
bact_strep	anc	B	11	0.094
bact_strep	anc	C	11	0.097
bact_strep	anc	D	11	0.095
bact_strep	anc	E	11	0.093
bact_strep	anc	F	11	0.092
bact	bact	A	12	0.122
bact	bact	B	12	0.115
bact	bact	C	12	0.114
bact	bact	D	12	0.125
bact	bact	E	12	0.125
bact	bact	F	12	0.122
bact	bact_strep	A	12	0.112
bact	bact_strep	B	12	0.107
bact	bact_strep	C	12	0.119
bact	bact_strep	D	12	0.119
bact	bact_strep	E	12	0.118
bact	bact_strep	F	12	0.11
bact	anc	A	12	0.104
bact	anc	B	12	0.112
bact	anc	C	12	0.112
bact	anc	D	12	0.11
bact	anc	E	12	0.114
bact	anc	F	12	0.101
bact_strep	bact	A	12	0.105
bact_strep	bact	B	12	0.109
bact_strep	bact	C	12	0.108
bact_strep	bact	D	12	0.114
bact_strep	bact	E	12	0.106
bact_strep	bact	F	12	0.1
bact_strep	bact_strep	A	12	0.123
bact_strep	bact_strep	B	12	0.11
bact_strep	bact_strep	C	12	0.107
bact_strep	bact_strep	D	12	0.112
bact_strep	bact_strep	E	12	0.11
bact_strep	bact_strep	F	12	0.099
bact_strep	anc	A	12	0.101
bact_strep	anc	B	12	0.103
bact_strep	anc	C	12	0.104
bact_strep	anc	D	12	0.104
bact_strep	anc	E	12	0.1
bact_strep	anc	F	12	0.099
