plate	well	y0	mumax	r2	auc	max_od	min_od
A7_1	E4	0.02356051192371293	0.2001061594401072	0.9999234803938648	13.848277222222222	0.361	0.08320000000000001
A7_1	E5	0.0026848893020347164	0.21201624071853645	0.999957404872425	11.767425000000001	0.378	0.083
A7_1	E6	0.02440517042390667	0.3348903221972539	0.9995637289396632	16.5892455	0.4036	0.0844
A7_1	E7	0.03250635066393352	0.1772625069819088	0.9999299849506627	12.134348694444444	0.306	0.085
A7_1	E8	0.010948358159605294	0.18956724929688903	0.9999806469101178	12.609459777777777	0.362	0.0838
A7_1	E9	0.011941540834125942	0.22459646036971279	0.9999355698002598	12.969870611111112	0.344	0.084
A7_1	F1	0.012958880385939179	0.3388599756795784	0.999069159424371	9.557357111111111	0.3342	0.08566666666666667
A7_1	F10	0.015905928063000934	0.3282347278915056	0.9997075536197778	17.965383222222222	0.4492	0.08420000000000001
A7_1	F11	0.022727986663409652	0.3169258231228556	0.9996066182410313	19.35452916666667	0.4924	0.085
A7_1	F12	0.005281920268198941	0.14705475316755567	0.9999621913119027	6.890895	0.2162	0.08360000000000001
A7_1	F2	0.024328143016681226	0.1909157749590821	0.9999282044761213	13.726452861111111	0.36	0.083
A7_1	F3	0.022419315824628094	0.19669955621964932	0.9999247140629803	13.702136222222222	0.358	0.08460000000000001
A7_1	F4	0.021314573433402404	0.32668715091480144	0.9988226626053098	12.206453388888889	0.3756	0.084
A7_1	F5	0.08029398874746398	0.002763348862742172	0.8972383515744372	4.01184925	0.08900000000000001	0.083
A7_1	F6	0.021915573344837836	0.17416162698866164	0.9999514314891295	11.669243472222222	0.3048	0.08639999999999999
A7_1	F7	0.021330257526437916	0.3154099656009672	0.9996746223891226	18.0217145	0.4414	0.08460000000000001
A7_1	F8	0.08182985378338796	0.0018532764355637119	0.8943488333967644	4.074317833333334	0.085	0.0844
A7_1	F9	0.022559622910881476	0.22340485616972383	0.9999011552129895	15.32267538888889	0.417	0.084
A7_1	G1	0.023557039648870525	0.19062974615805872	0.9999484983199656	13.991313416666667	0.372	0.0866
A7_1	G10	0.0167983794324859	0.3158235753642782	0.999711108789066	17.88017661111111	0.4522	0.084
A7_1	G11	0.0125655378206252	0.22016659843939906	0.9999362037584758	12.785425861111113	0.33640000000000003	0.0844
A7_1	G12	0.016606722103095616	0.3220217754630779	0.9996864267688234	18.75119736111111	0.4764	0.08460000000000001
A7_1	G2	0.022912125980548686	0.2236034681643304	0.9998907460628497	14.875427305555556	0.377	0.084
A7_1	G3	0.024767240113477553	0.19189839865740363	0.9999394021706691	13.729980527777778	0.357	0.086
A7_1	G4	0.02376914182482745	0.19734709251342544	0.999959841927476	13.774070166666666	0.358	0.084
A7_1	G5	0.019690926462371892	0.17159783244654947	0.9999693581588154	11.375715805555556	0.304	0.084
A7_1	G6	0.004447992226673838	0.20059909940892334	0.99993774556837145	10.959217222222223	0.3312	0.084
A7_1	G7	0.09084560268261499	0.015079009465941864	0.9969334688827283	4.275645166666667	0.0934	0.084
A7_1	G8	0.017203438934191278	0.30926789837742974	0.9997651904457188	17.62654013888889	0.4364	0.08639999999999999
A7_1	G9	0.023936244713858253	0.2222122577511135	0.9998779840209462	15.170256444444446	0.4024	0.084
A7_1	H1	0.020649589908017858	0.20194456549490897	0.9999714696664074	13.774811666666666	0.3622	0.084
A7_1	H10	0.019326032695310913	0.2265747590854726	0.9998270705053054	14.923964916666668	0.393	0.0854
A7_1	H11	0.015968069724205926	0.22019773715069385	0.9999228573399505	12.78454913888889	0.33	0.0844
A7_1	H12	0.020967065220462783	0.2225626477423219	0.9998132800064622	14.895217916666667	0.388	0.085
A7_1	H2	0.0192008032409125	0.2006827557686405	0.9999566012951885	13.142874083333334	0.3463333333333333	0.0834
A7_1	H3	0.02324714369896054	0.1988763939060155	0.9999756334343116	13.577442027777778	0.353	0.084
A7_1	H4	0.02261035255182493	0.20307683850129274	0.9999756620451385	13.63343761111111	0.3548	0.084
A7_1	H5	0.02587078932556934	0.30534570395318816	0.999689819430596	18.405349472222223	0.4464	0.09133333333333334
A7_1	H6	0.0205306776110034	0.3592790518593263	0.9994847261282557	16.262361833333333	0.4028000000000001	0.08433333333333334
